Income Level,Country,Color Bin,X,Jan.19,Feb.19,Mar.19,Apr.19,May.19,Jun.19,Jul.19,Aug.19,Sep.19,Oct.19,Nov.19,Dec.19,Jan.20,Feb.20,Mar.20,Apr.20,May.20,Jun.20,Jul.20,Aug.20,Sep.20,Oct.20,Nov.20,Dec.20,Jan.21,Feb.21,Mar.21,Apr.21,May.21,Jun.21,Jul.21,Aug.21
Low income,Mali,2-5.,Min. Bin,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,,1.00,1.00,1.00,,,,,,1.00,
Low income,Mali,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,0.05,,
Low income,Mali,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,
Low income,Mali,< 2.,Food Change Yoy,-0.03,-0.01,-0.01,0.01,0.02,-0.01,-0.02,-0.03,-0.02,-0.04,-0.04,-0.02,0.01,0.02,0.00,0.00,0.01,0.02,,,,,,,,0.01,,,,,,
Low income,Mali,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,1.00,,,,,,
Low income,Mozambique,2-5.,Food Change Yoy,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,
Low income,Mozambique,2-5.,Min. Bin,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,
Low income,Mozambique,5-30.,Food Change Yoy,,,,,,,,,,,0.05,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.08,,,,,,,,,,,0.11,0.11
Low income,Mozambique,5-30.,Min. Bin,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,1.00,1.00
Low income,Mozambique,< 2.,Food Change Yoy,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,Mozambique,< 2.,Min. Bin,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,Niger,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.07,,,,,
Low income,Niger,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,
Low income,Niger,< 2.,Food Change Yoy,-0.07,-0.04,-0.03,-0.04,-0.06,-0.07,-0.06,-0.07,-0.05,-0.03,-0.03,-0.03,0.00,0.00,,,,,,,,,,,,,,,,,,
Low income,Niger,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,
Low income,Rwanda,2-5.,Food Change Yoy,,,,,,,,0.04,,,,,,,,,,,,,,,0.05,0.04,0.03,,,,,,,
Low income,Rwanda,2-5.,Min. Bin,,,,,,,,1.00,,,,,,,,,,,,,,,1.00,1.00,1.00,,,,,,,
Low income,Rwanda,5-30.,Food Change Yoy,,,,,,,,,0.08,0.14,0.24,0.24,0.22,0.27,0.24,0.19,0.13,0.14,0.17,0.16,0.15,0.14,,,,,,,,,,
Low income,Rwanda,5-30.,Min. Bin,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,
Low income,Rwanda,< 2.,Food Change Yoy,-0.07,-0.07,-0.04,-0.03,-0.04,-0.01,0.01,,,,,,,,,,,,,,,,,,,0.01,0.00,0.00,-0.01,-0.02,-0.03,-0.06
Low income,Rwanda,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Low income,Sierra Leone,2-5.,Food Change Yoy,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
Low income,Sierra Leone,2-5.,Min. Bin,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,
Low income,Sierra Leone,5-30.,Food Change Yoy,0.11,0.11,0.12,0.16,0.08,0.07,0.08,0.08,0.08,0.09,,0.05,0.07,0.08,0.10,0.11,0.17,0.17,0.17,0.18,0.18,0.14,0.15,0.15,0.19,0.20,0.15,0.16,0.18,0.17,0.15,
Low income,Sierra Leone,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
Low income,Somalia,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
Low income,Somalia,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00
Low income,Somalia,< 2.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
Low income,Somalia,< 2.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,
Low income,South Sudan,5-30.,Food Change Yoy,,,,,,,,,,,,,,,0.24,0.26,0.23,,,0.09,0.22,0.20,,,,,,,,,,
Low income,South Sudan,5-30.,Min. Bin,,,,,,,,,,,,,,,1.00,1.00,1.00,,,1.00,1.00,1.00,,,,,,,,,,
Low income,South Sudan,< 2.,Food Change Yoy,,,,,,,,,,,,,,,,,,-0.04,-0.01,,,,,,,-0.33,,,,,,
Low income,South Sudan,< 2.,Min. Bin,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,1.00,,,,,,
Low income,South Sudan,>30,Food Change Yoy,0.67,0.99,1.04,0.65,0.97,1.16,0.81,1.33,1.73,1.89,0.87,1.02,0.48,0.35,,,,,,,,,0.66,0.43,0.42,,0.35,,,,,
Low income,South Sudan,>30,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,1.00,1.00,1.00,,1.00,,,,,
Low income,Sudan,>30,Food Change Yoy,0.61,0.62,0.62,0.62,0.58,0.60,0.64,0.62,0.61,0.67,0.70,0.63,0.68,0.76,,,1.28,1.38,1.36,1.46,1.76,1.95,2.03,2.06,2.48,2.62,5.65,,,,,
Low income,Sudan,>30,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,
Low income,Sudan,No Value,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,Sudan,No Value,Min. Bin,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,
Low income,Tajikistan,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.12,
Low income,Tajikistan,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,
Low income,Togo,2-5.,Food Change Yoy,,0.03,0.03,,,,,,,,,,,,,0.05,,,0.03,,,,,,0.05,0.05,,,,,,
Low income,Togo,2-5.,Min. Bin,,1.00,1.00,,,,,,,,,,,,,1.00,,,1.00,,,,,,1.00,1.00,,,,,,
Low income,Togo,5-30.,Food Change Yoy,,,,,,,,,,,,,0.17,,,,,,,0.06,0.07,0.07,0.06,0.07,,,,0.05,0.08,0.12,0.15,
Low income,Togo,5-30.,Min. Bin,,,,,,,,,,,,,1.00,,,,,,,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,1.00,
Low income,Togo,< 2.,Food Change Yoy,-0.13,,,-0.02,-0.03,0.02,-0.01,-0.03,-0.01,-0.01,-0.02,-0.03,,-0.01,0.02,,0.02,-0.01,,,,,,,,,0.01,,,,,
Low income,Togo,< 2.,Min. Bin,1.00,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,,1.00,1.00,,,,,,,,,1.00,,,,,
Low income,Uganda,2-5.,Food Change Yoy,,,,,,,,,,,,0.02,0.03,0.04,0.04,0.05,0.03,,,,,,,,,,,,,,,
Low income,Uganda,2-5.,Min. Bin,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,
Low income,Uganda,< 2.,Food Change Yoy,-0.01,-0.01,-0.03,-0.01,0.00,0.01,0.01,0.00,-0.01,0.00,0.01,,,,,,,0.02,0.02,0.02,0.00,0.00,-0.01,-0.01,-0.01,-0.01,0.01,,,-0.02,0.01,
Low income,Uganda,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,
Lower middle income,Algeria,2-5.,Food Change Yoy,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.04,,,,,0.05,,
Lower middle income,Algeria,2-5.,Min. Bin,,,1.00,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,,,,,1.00,,
Lower middle income,Algeria,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.07,0.10,0.07,,,
Lower middle income,Algeria,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,,,
Lower middle income,Algeria,< 2.,Food Change Yoy,0.01,0.02,,0.01,-0.02,-0.04,-0.02,-0.01,0.01,-0.02,-0.03,0.00,-0.01,-0.01,-0.01,0.00,0.01,0.02,0.01,-0.02,-0.02,0.02,,,,,,,,,,
Lower middle income,Algeria,< 2.,Min. Bin,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,
Lower middle income,Angola,5-30.,Food Change Yoy,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.18,0.19,0.20,0.21,0.22,0.25,0.27,0.28,0.29,0.30,,,,,,,,,,,,
Lower middle income,Angola,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,
Lower middle income,Bangladesh,2-5.,Food Change Yoy,,,,,,,,,,,,,,0.05,0.05,,,,,,,,,,,,,,0.05,,,
Lower middle income,Bangladesh,2-5.,Min. Bin,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,1.00,,,
Lower middle income,Bangladesh,5-30.,Food Change Yoy,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,,,0.06,0.05,0.07,0.06,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.06,0.06,,0.06,0.05,
Lower middle income,Bangladesh,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,
Lower middle income,Benin,2-5.,Food Change Yoy,0.03,,0.04,,,,,,,,,,,0.04,,0.03,,0.03,0.02,,,,0.03,0.04,,,,0.03,,,,
Lower middle income,Benin,2-5.,Min. Bin,1.00,,1.00,,,,,,,,,,,1.00,,1.00,,1.00,1.00,,,,1.00,1.00,,,,1.00,,,,
Lower middle income,Benin,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,0.06,0.09,0.08,,,,,,,0.05,0.12,0.09,
Lower middle income,Benin,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,,,,,,,1.00,1.00,1.00,
Lower middle income,Benin,< 2.,Food Change Yoy,,-0.03,,-0.03,0.00,-0.06,-0.03,-0.04,-0.08,-0.05,-0.03,-0.05,-0.03,,-0.01,,-0.01,,,,,,,,0.00,-0.02,0.01,,,,,
Lower middle income,Benin,< 2.,Min. Bin,,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,,1.00,,,,,,,,1.00,1.00,1.00,,,,,
Lower middle income,Bhutan,2-5.,Food Change Yoy,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,,,,,,,,,,,,,,,,,0.04,
Lower middle income,Bhutan,2-5.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,1.00,
Lower middle income,Bhutan,5-30.,Food Change Yoy,,,,,,,,,,,,,,,0.07,0.09,0.09,0.09,0.15,0.15,0.17,0.16,0.15,0.15,0.16,0.17,,,,0.10,,
Lower middle income,Bhutan,5-30.,Min. Bin,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.00,,
Lower middle income,Bolivia,2-5.,Food Change Yoy,,,,,0.03,0.03,0.04,,,,,,,,0.02,0.03,,,,,,,,,,,,,,,,
Lower middle income,Bolivia,2-5.,Min. Bin,,,,,1.00,1.00,1.00,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,
Lower middle income,Bolivia,5-30.,Food Change Yoy,,,,,,,,0.05,0.06,0.06,0.09,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Bolivia,5-30.,Min. Bin,,,,,,,,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Bolivia,< 2.,Food Change Yoy,0.01,0.00,0.00,0.01,,,,,,,,0.02,0.01,0.02,,,0.00,0.01,0.00,0.00,-0.04,-0.04,-0.07,-0.01,0.01,0.01,0.01,,,0.00,0.00,
Lower middle income,Bolivia,< 2.,Min. Bin,1.00,1.00,1.00,1.00,,,,,,,,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,
Lower middle income,Cambodia,2-5.,Food Change Yoy,0.02,0.02,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,
Lower middle income,Cambodia,2-5.,Min. Bin,1.00,1.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,
Lower middle income,Cambodia,< 2.,Food Change Yoy,,,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Cambodia,< 2.,Min. Bin,,,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Cameroon,2-5.,Food Change Yoy,,0.03,0.03,0.03,0.02,0.03,0.04,0.04,0.03,0.02,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.05,,
Lower middle income,Cameroon,2-5.,Min. Bin,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Lower middle income,Cameroon,< 2.,Food Change Yoy,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Cameroon,< 2.,Min. Bin,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Cape Verde,2-5.,Food Change Yoy,,,,,,0.02,0.02,0.02,,,,0.04,0.04,0.04,0.04,0.04,0.03,,,,,,,,,,,,,,,0.02
Lower middle income,Cape Verde,2-5.,Min. Bin,,,,,,1.00,1.00,1.00,,,,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,1.00
Lower middle income,Cape Verde,< 2.,Food Change Yoy,0.01,-0.01,-0.01,-0.01,0.01,,,,0.02,0.02,0.02,,,,,,,0.02,0.01,0.00,0.01,0.00,0.00,-0.03,-0.03,-0.03,-0.03,,,,0.01,
Lower middle income,Cape Verde,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.00,
Lower middle income,Cote d`Ivoire,2-5.,Food Change Yoy,,,,,,,,,,,,,0.04,,,,0.04,0.05,0.04,0.05,0.02,,0.02,0.03,0.03,,,,,,,
Lower middle income,Cote d`Ivoire,2-5.,Min. Bin,,,,,,,,,,,,,1.00,,,,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,,,,,,,
Lower middle income,Cote d`Ivoire,5-30.,Food Change Yoy,,,,,,,,,,,,,,0.06,0.06,0.06,,,,,,0.05,,,,0.06,0.05,0.05,0.07,0.06,0.08,0.09
Lower middle income,Cote d`Ivoire,5-30.,Min. Bin,,,,,,,,,,,,,,1.00,1.00,1.00,,,,,,1.00,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Lower middle income,Cote d`Ivoire,< 2.,Food Change Yoy,-0.05,-0.04,-0.07,-0.05,0.00,-0.02,-0.04,-0.07,-0.03,-0.03,-0.01,-0.02,,,,,,,,,,,,,,,,,,,,
Lower middle income,Cote d`Ivoire,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,
Lower middle income,Djibouti,2-5.,Food Change Yoy,0.03,0.05,0.05,,,,,,,,,,,,,,0.04,,,,0.02,0.03,,,,,,,0.02,,,
Lower middle income,Djibouti,2-5.,Min. Bin,1.00,1.00,1.00,,,,,,,,,,,,,,1.00,,,,1.00,1.00,,,,,,,1.00,,,
Lower middle income,Djibouti,5-30.,Food Change Yoy,,,,0.05,0.06,0.07,0.05,0.05,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.06,,0.06,0.12,0.05,,,,,,,,,,,,
Lower middle income,Djibouti,5-30.,Min. Bin,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,,,,,,,,,,,,
Lower middle income,Djibouti,< 2.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,0.00,,
Lower middle income,Djibouti,< 2.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,1.00,,
