"","Fr_Countryname.x","Country","Fr_Countryname.y","Fr_FCV_status","Fr_FCS_Normalised","Fr_month","Fr_pt_suc","Fr_pt_attempt","Fr_delayed","Fr_irreg_lead_ant","Fr_anticipation","Fr_delayed_adj","Fr_anticipation_adj","Fr_pol_trigger","Fr_REIGN_Normalised","Fr_Country of origin (ISO)","Fr_refugees","Fr_z_refugees","Fr_refugees_fragile","Fr_idps","Fr_z_idps","Fr_idps_fragile","Fr_z_refugees_norm","Fr_Displaced_UNHCR_Normalised","Fr_month_yr","Fr_fatal_month","Fr_fatal_month_log","Fr_fatal_3_month","Fr_fatal_3_month_log","Fr_fatal_z","Fr_sd","Fr_mean","Fr_BRD_Normalised"
"59","Pakistan","PAK","Pakistan",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"PAK",137190,-0.52438828070465,"Not Fragile",100680,-0.80775647078577,"Not Fragile",0,0,Jun 2021,115,4.75359019110636,361,5.89164421182577,1.09486098683896,0.289673990233471,5.57449146101717,10
"60","Seychelles","SYC","Seychelles",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SYC",15,-0.0655403131366347,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Spain","ESP","Spain",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"ESP",51,0.248164935593026,"Not Fragile",0,0,"Not Fragile",2.48164935593026,0,Jun 2021,0,0,0,0,-0.465130254709532,0.279416561359036,0.12996509635499,0
"62","Suriname","SUR","Suriname",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SUR",17,-0.456435464587638,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.615650811264372,0.585591792686352,0.360520062237111,0
"63","Syria","SYR","Syria","High-Intensity Conflict",0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SYR",6616983,0.880037692542316,"Not Fragile",6146994,-0.612761714665747,"Not Fragile",8.80037692542316,0,Jun 2021,431,6.06842558824411,1231,7.11639414409346,-1.69559355421584,0.539167439853889,8.03060297975277,0
"64","Timor-Leste","TLS","Timor-Leste","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"TLS",17,0.467382714637317,"Not Fragile",0,0,"Not Fragile",4.67382714637317,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Trinidad and Tobago","TTO","Trinidad and Tobago",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"TTO",307,-0.674458147041217,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,10,2.39789527279837,34,3.55534806148941,-0.641031945834099,0.346781728826033,3.77764622789848,1.7948402708295
"66","Tunisia","TUN","Tunisia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"TUN",2068,1.2806501226167,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,2,1.09861228866811,12,2.56494935746154,1.01616643588363,0.648060614742836,1.90641191234176,10
"67","Uganda","UGA","Uganda",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"UGA",7479,1.34761456825745,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,38,3.66356164612965,102,4.63472898822964,1.40279227271446,0.477252863164444,3.9652423596517,10
"68","Venezuela","VEN","Venezuela","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"VEN",93280,2.01712209896068,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,13,2.63905732961526,66,4.20469261939097,-1.25742061008663,0.646799832099928,5.01799205887399,0
"69","Angola","AGO","Angola",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"AGO",8178,-0.617038747364037,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,6,1.94591014905531,-0.342264996078521,0.862940720139223,2.24126455124976,3.28867501960739
"70","Bahamas","BHS","Bahamas",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BHS",501,1.41129141023489,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-0.495404072215703,0.529257677933568,0.262196408899717,0
"71","Belize","BLZ","Belize",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BLZ",73,1.18647523454624,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,1,0.693147180559945,15,2.77258872223978,0.582573147880173,0.32883548224796,2.58101800021189,7.91286573940087
"72","Bosnia and Herzegovina","BIH","Bosnia and Herzegovina",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BIH",16556,-0.93335677026282,"Not Fragile",96421,0.169529125743,"Not Fragile",0,1.69529125743,Jun 2021,0,0,0,0,-0.427277181082356,0.256143544549047,0.10944429166736,0
"73","Botswana","BWA","Botswana",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BWA",228,-1.25822114835879,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Brunei Darussalam","BRN","Brunei Darussalam",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Bulgaria","BGR","Bulgaria",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BGR",561,-0.871231881878731,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,NA,0,0,0
"76","Cyprus","CYP","Cyprus",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jun 2021,0,0,0,0,-0.427277181082356,0.256143544549047,0.10944429166736,0
"77","Djibouti","DJI","Djibouti",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"DJI",2351,1.28112525334595,"Fragile",0,0,"Not Fragile",10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Ecuador","ECU","Ecuador",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"ECU",1652,1.47770974926607,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,1,0.693147180559945,1,0.693147180559945,-0.814529346823539,0.791528454115873,1.33787033528319,0
"79","Equatorial Guinea","GNQ","Equatorial Guinea",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"GNQ",156,0.775242974459673,"Not Fragile",0,0,"Not Fragile",7.75242974459673,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Fiji","FJI","Fiji",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"FJI",591,-1.3858298566824,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Greece","GRC","Greece",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"GRC",95,-1.68105349713061,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,1,0.693147180559945,-0.150324837978114,0.592852536726055,0.782267642088204,0
"82","Guyana","GUY","Guyana",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"GUY",284,-0.552100403420243,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.678251894892482,0.496225298915091,0.336565749282749,0
"83","Hungary","HUN","Hungary",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"HUN",4007,0.992320167941583,"Not Fragile",0,0,"Not Fragile",9.92320167941583,0,Jun 2021,0,0,0,0,NA,0,0,0
"84","Kazakhstan","KAZ","Kazakhstan",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"KAZ",2757,1.71167967944843,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,1,0.693147180559945,1,0.693147180559945,0.0649419508685185,0.887928658398564,0.635483361251476,0
"85","Malaysia","MYS","Malaysia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"MYS",1154,1.77301519619803,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,6,1.94591014905531,1.44069456657626,0.672350098141148,0.977259015826345,10
"86","Nicaragua","NIC","Nicaragua",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"NIC",4376,2.03465121740807,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,1,0.693147180559945,2,1.09861228866811,-0.62932422528198,1.38116266906089,1.96781141536324,0
"87","Oman","OMN","Oman",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"OMN",42,0.866383487489542,"Not Fragile",0,0,"Not Fragile",8.66383487489542,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Palau","PLW","Palau",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Poland","POL","Poland",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"POL",961,-1.4747183103608,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,NA,0,0,0
"90","Saint Lucia","LCA","Saint Lucia",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"LCA",843,-1.74813722035203,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,NA,0,0,0
"91","Solomon Islands","SLB","Solomon Islands","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"SLB",27,-1.3886035456399,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","United Arab Emirates","ARE","United Arab Emirates",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"ARE",155,0.898169874732925,"Not Fragile",0,0,"Not Fragile",8.98169874732925,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Azerbaijan","AZE","Azerbaijan","High-Intensity Conflict",0,7,0,0,0,0,0,0,0,"Not Fragile",0,"AZE",11626,1.31975423062987,"Fragile",652326,1.96547414660409,"Fragile",10,10,Jun 2021,5,1.79175946922805,7,2.07944154167984,-0.292019662452086,2.20008038653238,2.72190827352248,3.53990168773957
"94","Bahrain","BHR","Bahrain",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BHR",557,1.09471273112377,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-0.288892102032128,0.189420705684762,0.0547221458336799,0
